Qual è il tuo ruolo lavorativo?,Quanti anni di esperienza hai nel settore?,Quale definizione si applica meglio all'azienda per cui lavori?,Quanti dipendenti ha la tua azienda?,Dove si trova la sede della tua azienda?,La tua azienda lavora a progetti open-source?,La tua azienda è sponsor di progetti opensource?,Quale tipologia di progetti open-source utilizzate in azienda?,Porti avanti progetti open-source in modo individuale?,Quali sono secondo te le maggiori sfide/difficoltà quando ci si imbatte in progetti open?,In che modo contribuisci a progetti open-source?,Fai parte di una o più tech community?,Pensi che si possa monetizzare un progetti opensource o crearci un business?,Quali sono i tre progetti/frameworks opensource che utilizzi nel tuo quotidiano?,Quali sono i linguaggi di programmazione che utilizzi di più?
Full-stack Developer,da 7 a 10,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, ma non saprei come","['django', 'mysql', 'bitcoin']","['python', 'javascript', 'typescript']"
Software Architect,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",No,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda","['springboot', 'react', 'maven']",['java']
Software Engineer,11+,Startup,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Security Tools', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'uxui', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['laravel', 'phpunit', 'docker']","['php', 'javascript']"
Back-end Developer,11+,Big Company,Piu di 500,USA,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",No,['mancanza sviluppisupporto da parte della communityautore'],['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, puo essere il core business di un'azienda","['golang', 'kubernetes', 'postgres']",['golang']
Front-end Developer,da 7 a 10,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, puo essere il core business di un'azienda","['angular', 'material', 'tailwind']","['typescript', 'python', 'php']"
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Big Company,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Tools DevOps', 'Containers e Orchestrazione']",No,"['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['terraform', 'spark', 'airflow']","['python', 'scala']"
Back-end Developer,da 7 a 10,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools']",No,"['mancanza di documentazione', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['django', 'fastapi', 'postgres']","['python', 'elixir']"
Back-end Developer,da 7 a 10,Big Company,Piu di 500,Italia,Non so,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'integrazione con sistemi gia in uso']",['creo issues e segnalo bug'],No,No,"['springboot', 'lombok', 'docusaurus']","['java', 'python', 'javascript']"
Back-end Developer,11+,Lavoro come freelance,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando",['non ho mai riscontrato problemi'],['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda","['django', 'vue.js', 'postgres']","['python', 'javascript']"
Data Analyst / Data Scientist / Data Engineer,da 7 a 10,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",No,"['installazione e configurazione', 'endoflife di una versione', ""migrazione da un progetto open all'altro""]",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['kubernetes', 'airflow']",['python']
Software Engineer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,Non so,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'utilizzo solo i progetti e non contribuisco in alcun modo']",Si,"Si, ma non saprei come","['docker', 'home assistant', 'raspberry pi']","['c#', 'typescript']"
DevOps Engineer / Site Reliability Engineer,11+,Piccola - medio impresa,50 - 500,Europa,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['react', 'symfony', 'ansible']","['php', 'javascript', 'ansible']"
Back-end Developer,11+,Big Company,Piu di 500,USA,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",No,"Si, puo essere il core business di un'azienda","['react', 'rust', 'gradle']","['java', 'rust', 'javascript']"
Full-stack Developer,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']",No,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],No,"Si, puo essere il core business di un'azienda","['vscode', 'next.js', 'wordpress']","['typescript', 'php']"
Software Engineer,da 0 a 3,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,No,"['scikitlearn', 'pytorch', 'fastapi']",['python']
Back-end Developer,da 7 a 10,Big Company,Piu di 500,USA,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",Si,['installazione e configurazione'],"['creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, puo essere il core business di un'azienda","['kubernetes', 'go', 'vscode']","['go', 'nodejs', 'python']"
System Administrator,da 4 a 6,Big Company,50 - 500,Italia,No,Non sostiene nessun progetto,"['Tools DevOps', 'Containers e Orchestrazione']",Si,"[""migrazione da un progetto open all'altro""]",['partecipo alle community dei relativi progetti'],Si,"Si, ma non saprei come","['habitica', 'actual', 'kube']",['python']
Back-end Developer,11+,Big Company,Piu di 500,USA,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Security Tools', 'Containers e Orchestrazione']","No, ma ci sto pensando",['integrazione con sistemi gia in uso'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, puo essere il core business di un'azienda","['neovim', 'git', 'cassandra']","['go', 'python']"
Agile Coach / Facilitatore / Scrum Master,11+,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando",['non ho mai riscontrato problemi'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda",[''],['c#']
Cloud Architect,11+,Piccola - medio impresa,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Tools DevOps', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['fastapi', 'fastify', 'restana']","['python', 'node.js', 'c#']"
Software Engineer,da 0 a 3,Piccola - medio impresa,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando",['non ho mai riscontrato problemi'],['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come","['spring boot', 'tensorflow', 'react']","['typescript', 'python', 'java']"
System Administrator,da 7 a 10,Piccola - medio impresa,Piu di 500,Italia,No,Non sostiene nessun progetto,"['Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Security Tools', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'installazione e configurazione']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come",['no'],['python']
Software Engineer,11+,Lavoro come freelance,0 - 10,Italia,Si,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, puo essere il core business di un'azienda","['emacs', 'nodejs', 'react']","['rust', 'typescript', 'elixir']"
Front-end Developer,da 7 a 10,Big Company,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS']",No,"[""migrazione da un progetto open all'altro"", 'non ho mai riscontrato problemi']",['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['react', 'vscode', 'typescript']",['typescript']
Full-stack Developer,da 4 a 6,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']","['partecipo alle community dei relativi progetti', 'utilizzo solo i progetti e non contribuisco in alcun modo']",Si,"Si, ma non saprei come","['angular', 'primeng', 'fse gateway']","['typescript', 'java']"
Back-end Developer,da 0 a 3,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando",['mancanza di documentazione'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma solo con donazioni",['springspringboot'],['java']
Full-stack Developer,da 0 a 3,Piccola - medio impresa,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']",Si,"['mancanza di documentazione', ""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['laravel', 'astro', 'wordpress']","['php', 'typescript', 'javascript']"
Tech Lead,da 7 a 10,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",No,No,['react'],['typescript']
Back-end Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,Si,2 - 5,[],"No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['sprinboot', 'camel']",['java']
Tech Lead,11+,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Containers e Orchestrazione']",No,"['integrazione con sistemi gia in uso', 'problemi di performance']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come","['opensearch', 'linux', 'kubernetes']",['bash scripting']
CEO,da 7 a 10,Startup,0 - 10,Italia,Si,1,"['CMS', 'Security Tools']","No, ma ci sto pensando","['mancanza di documentazione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['angular', 'nestjs']",['typescript']
Tech Lead,da 7 a 10,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","['mancanza di documentazione', ""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['springbot', 'libreoffice', 'angular']","['java', 'typescript']"
Back-end Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come",['springboot'],['java']
Front-end Developer,da 0 a 3,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],"No, ma ci sto pensando","['mancanza di documentazione', 'installazione e configurazione', 'integrazione con sistemi gia in uso']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['react', 'storybook']","['typescript', 'javascript']"
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'installazione e configurazione', ""migrazione da un progetto open all'altro""]",['creo issue e apro pullrequest per risolvere le issues'],Si,"Si, puo essere il core business di un'azienda","['postgresql', 'almalinux', 'replicadb']","['python', 'sql', 'c']"
Back-end Developer,da 0 a 3,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['springboot', 'eclipse', 'linux']","['java', 'python', 'typescript']"
Tech Lead,11+,Piccola - medio impresa,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'CMS']",No,"['endoflife di una versione', ""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']",['creo issues e segnalo bug'],"No, ma mi piacerebbe","Si, ma non saprei come","['angular', 'wordpress', 'ionic']","['typescript', 'c#']"
Back-end Developer,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']","No, ma ci sto pensando",['non ho mai riscontrato problemi'],['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['symfony', 'laravel']",['php']
Back-end Developer,11+,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools', 'Containers e Orchestrazione']",No,['non ho mai riscontrato problemi'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda",['kde gnulinux spring'],"['kotlin', 'java']"
